TIME,SYMBOL,EX,PRICE,SIZE,COND,BID,BIDSIZ,OFR,OFRSIZ,SIGN
2017-09-19 13:55:06,BAC,N,24.96,210, ,24.96,83,24.97,356,-1
2017-09-19 13:55:06,BAC,N,24.96,185, ,24.96,170,24.97,712,-1
2017-09-19 13:55:06,BAC,N,24.96,162, ,24.96,170,24.97,712,-1
2017-09-19 13:55:07,BAC,Y,24.96,2100, ,24.96,650,24.97,2492,-1
2017-09-19 13:55:09,BAC,Y,24.96,100, ,24.96,381,24.97,1424,-1
2017-09-19 13:55:09,BAC,N,24.965,9, ,24.96,381,24.97,1424,1
2017-09-19 13:55:11,BAC,J,24.96,100, ,24.96,286,24.97,1071,-1
2017-09-19 13:55:13,BAC,Y,24.96,500, ,24.96,178,24.97,1074,-1
2017-09-19 13:55:14,BAC,Y,24.965,1500, ,24.96,662,24.97,2506,1
2017-09-19 13:55:14,BAC,Y,24.96,100, ,24.96,367,24.97,1760,-1
2017-09-19 13:55:14,BAC,J,24.96,100, ,24.96,282,24.97,1408,-1
2017-09-19 13:55:15,BAC,N,24.96,20, ,24.96,68,24.97,352,-1
2017-09-19 13:55:18,BAC,J,24.96,200, ,24.96,217,24.97,1056,-1
2017-09-19 13:55:19,BAC,Y,24.96,100, ,24.96,377,24.97,1760,-1
2017-09-19 13:55:20,BAC,N,24.965,100, ,24.96,76,24.97,352,1
2017-09-19 13:55:24,BAC,Y,24.96,400, ,24.96,361,24.97,1760,-1
2017-09-19 13:55:24,BAC,Y,24.96,100, ,24.96,293,24.97,1408,-1
2017-09-19 13:55:26,BAC,J,24.96,100, ,24.96,293,24.97,1408,-1
2017-09-19 13:55:26,BAC,Z,24.96,6, ,24.96,71,24.97,352,-1
2017-09-19 13:55:27,BAC,K,24.965,11, ,24.96,67,24.97,352,1
2017-09-19 13:55:27,BAC,Y,24.96,11, ,24.96,67,24.97,352,-1
2017-09-19 13:55:29,BAC,Y,24.96,100, ,24.96,126,24.97,704,-1
2017-09-19 13:55:33,BAC,Y,24.96,300, ,24.96,72,24.97,353,-1
2017-09-19 13:55:33,BAC,T,24.96,100, ,24.96,130,24.97,700,-1
2017-09-19 13:55:34,BAC,Y,24.96,100, ,24.96,66,24.97,350,-1
2017-09-19 13:55:39,BAC,J,24.96,600, ,24.96,68,24.97,350,-1
2017-09-19 13:55:39,BAC,Y,24.96,100, ,24.96,68,24.97,350,-1
2017-09-19 13:55:41,BAC,Y,24.96,2000, ,24.96,62,24.97,350,-1
2017-09-19 13:55:41,BAC,Y,24.96,1300, ,24.96,258,24.97,1400,-1
2017-09-19 13:55:42,BAC,Y,24.965,1300, ,24.96,196,24.97,700,1
2017-09-19 13:55:42,BAC,Y,24.96,300, ,24.96,173,24.97,700,-1
2017-09-19 13:55:42,BAC,B,24.96,100, ,24.96,87,24.97,350,-1
2017-09-19 13:55:44,BAC,Y,24.96,100, ,24.96,162,24.97,701,-1
2017-09-19 13:55:45,BAC,Y,24.96,100, ,24.96,87,24.97,351,-1
2017-09-19 13:55:48,BAC,J,24.96,100, ,24.96,80,24.97,354,-1
2017-09-19 13:55:49,BAC,Y,24.96,700, ,24.96,193,24.97,708,-1
2017-09-19 13:55:50,BAC,V,24.96,89, ,24.96,193,24.97,708,-1
2017-09-19 13:55:50,BAC,N,24.96,1733, ,24.96,243,24.97,1416,-1
2017-09-19 13:55:53,BAC,Y,24.96,100, ,24.96,131,24.97,708,-1
2017-09-19 13:55:53,BAC,J,24.96,200, ,24.96,69,24.97,354,-1
2017-09-19 13:55:54,BAC,Y,24.96,100, ,24.96,63,24.97,355,-1
2017-09-19 13:55:56,BAC,J,24.96,200, ,24.96,69,24.97,355,-1
2017-09-19 13:55:59,BAC,Y,24.96,100, ,24.96,79,24.97,355,-1
2017-09-19 13:55:59,BAC,Y,24.96,100, ,24.96,79,24.97,355,-1
2017-09-19 13:55:59,BAC,Y,24.96,100, ,24.96,288,24.97,1064,-1
2017-09-19 13:56:00,BAC,J,24.96,200, ,24.96,179,24.97,708,-1
2017-09-19 13:56:00,BAC,Y,24.96,100, ,24.96,179,24.97,708,-1
2017-09-19 13:56:01,BAC,B,24.965,45, ,24.96,179,24.97,708,1
2017-09-19 13:56:01,BAC,J,24.96,800, ,24.96,179,24.97,708,-1
2017-09-19 13:56:01,BAC,Y,24.96,500, ,24.96,100,24.97,354,-1
2017-09-19 13:56:02,BAC,J,24.96,200, ,24.96,169,24.97,706,-1
2017-09-19 13:56:04,BAC,Y,24.96,100, ,24.96,95,24.97,351,-1
2017-09-19 13:56:05,BAC,N,24.96,11, ,24.96,167,24.97,702,-1
2017-09-19 13:56:09,BAC,Y,24.96,100, ,24.96,270,24.97,1053,-1
2017-09-19 13:56:11,BAC,Y,24.96,100, ,24.96,105,24.97,351,-1
2017-09-19 13:56:12,BAC,N,24.96,100, ,24.96,104,24.97,351,-1
2017-09-19 13:56:15,BAC,B,24.96,100, ,24.96,83,24.97,352,-1
2017-09-19 13:56:16,BAC,X,24.96,800, ,24.96,763,24.97,2440,-1
2017-09-19 13:56:25,BAC,B,24.965,75, ,24.96,485,24.97,957,1
2017-09-19 13:56:26,BAC,Y,24.96,100, ,24.96,486,24.97,957,-1
2017-09-19 13:56:28,BAC,Y,24.96,3300, ,24.96,286,24.97,644,-1
2017-09-19 13:56:28,BAC,Z,24.965,100, ,24.96,737,24.97,2064,1
2017-09-19 13:56:31,BAC,Y,24.96,1100, ,24.96,540,24.97,1376,-1
2017-09-19 13:56:31,BAC,N,24.96,8937, ,24.96,32,24.97,344,-1
2017-09-19 13:56:32,BAC,Y,24.96,100, ,24.96,88,24.97,1534,-1
2017-09-19 13:56:32,BAC,N,24.96,4506, ,24.95,1011,24.97,1532,-1
2017-09-19 13:56:33,BAC,Y,24.96,4400, ,24.96,624,24.97,5180,-1
2017-09-19 13:56:33,BAC,Y,24.96,3200, ,24.96,627,24.97,2590,-1
2017-09-19 13:56:33,BAC,Y,24.96,200, ,24.96,43,24.97,370,-1
2017-09-19 13:56:39,BAC,V,24.965,100, ,24.96,117,24.97,371,1
2017-09-19 13:56:41,BAC,Y,24.96,100, ,24.96,158,24.97,742,-1
2017-09-19 13:56:41,BAC,Y,24.96,100, ,24.96,173,24.97,742,-1
2017-09-19 13:56:42,BAC,Y,24.965,200, ,24.96,416,24.97,1113,1
2017-09-19 13:56:43,BAC,B,24.96,500, ,24.96,428,24.97,1855,-1
2017-09-19 13:56:45,BAC,V,24.965,600, ,24.96,300,24.97,1484,1
2017-09-19 13:56:46,BAC,Y,24.96,100, ,24.96,101,24.97,371,-1
2017-09-19 13:56:47,BAC,Y,24.96,460, ,24.96,196,24.97,742,-1
2017-09-19 13:56:49,BAC,Y,24.965,243, ,24.96,202,24.97,742,1
2017-09-19 13:56:53,BAC,Y,24.96,100, ,24.96,101,24.97,371,-1
2017-09-19 13:56:56,BAC,Y,24.96,480, ,24.96,603,24.97,2976,-1
2017-09-19 13:56:57,BAC,Z,24.965,5, ,24.96,147,24.97,372,1
2017-09-19 13:56:58,BAC,Y,24.965,4, ,24.96,297,24.97,744,1
2017-09-19 13:57:04,BAC,T,24.965,5760, ,24.96,880,24.97,1790,-1
2017-09-19 13:57:04,BAC,V,24.965,23284, ,24.96,4040,24.97,5445,-1
2017-09-19 13:57:05,BAC,B,24.965,11, ,24.96,493,24.97,624,-1
2017-09-19 13:57:08,BAC,X,24.965,77, ,24.96,404,24.97,630,-1
2017-09-19 13:57:10,BAC,N,24.965,100, ,24.96,657,24.97,954,-1
2017-09-19 13:57:11,BAC,Y,24.96,100, ,24.96,438,24.97,666,-1
2017-09-19 13:57:21,BAC,P,24.965,200, ,24.96,191,24.97,324,1
2017-09-19 13:57:22,BAC,Z,24.9625,204, ,24.96,191,24.97,324,-1
2017-09-19 13:57:27,BAC,Z,24.965,100, ,24.96,224,24.97,324,1
2017-09-19 13:57:32,BAC,N,24.965,200, ,24.96,634,24.97,1044,1
2017-09-19 13:57:34,BAC,T,24.965,148, ,24.96,634,24.97,965,-1
2017-09-19 13:57:34,BAC,Y,24.96,100, ,24.96,214,24.97,318,-1
2017-09-19 13:57:35,BAC,Y,24.97,202, ,24.96,217,24.97,318,1
2017-09-19 13:57:36,BAC,B,24.97,62, ,24.96,440,24.97,624,1
2017-09-19 13:57:45,BAC,T,24.965,100, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,100, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,100, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,200, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,100, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,100, ,24.96,220,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,500, ,24.96,226,24.97,315,-1
2017-09-19 13:57:45,BAC,T,24.965,700, ,24.96,226,24.97,315,-1
2017-09-19 13:57:46,BAC,Y,24.969,4, ,24.96,220,24.97,318,1
2017-09-19 13:57:49,BAC,V,24.965,100, ,24.96,438,24.97,648,-1
2017-09-19 13:57:56,BAC,V,24.965,100, ,24.96,220,24.97,322,-1
2017-09-19 13:57:57,BAC,V,24.96,100, ,24.96,220,24.97,319,-1
2017-09-19 13:57:58,BAC,Z,24.965,83, ,24.96,892,24.97,1264,1
2017-09-19 13:58:00,BAC,J,24.9675,200, ,24.96,226,24.97,319,1
2017-09-19 13:58:02,BAC,B,24.97,45, ,24.96,230,24.97,313,1
2017-09-19 13:58:09,BAC,N,24.965,500, ,24.96,225,24.97,322,-1
2017-09-19 13:58:09,BAC,Y,24.96,10, ,24.96,221,24.97,322,-1
2017-09-19 13:58:11,BAC,Y,24.97,296, ,24.96,902,24.97,1264,1
2017-09-19 13:58:11,BAC,Y,24.96,100, ,24.96,456,24.97,632,-1
2017-09-19 13:58:11,BAC,N,24.965,100, ,24.96,225,24.97,316,1
2017-09-19 13:58:13,BAC,V,24.965,500, ,24.96,221,24.97,322,1
2017-09-19 13:58:18,BAC,Y,24.96,100, ,24.96,221,24.97,322,-1
2017-09-19 13:58:22,BAC,Z,24.965,500, ,24.96,221,24.97,322,1
2017-09-19 13:58:24,BAC,Y,24.9625,113, ,24.96,422,24.97,642,-1
2017-09-19 13:58:24,BAC,Y,24.97,300, ,24.96,900,24.97,1269,1
2017-09-19 13:58:26,BAC,Y,24.97,900, ,24.96,223,24.97,318,1
2017-09-19 13:58:27,BAC,B,24.965,100, ,24.96,223,24.97,318,-1
2017-09-19 13:58:38,BAC,Y,24.97,100, ,24.96,687,24.97,942,1
2017-09-19 13:58:40,BAC,Y,24.97,3265, ,24.96,809,24.97,933,1
2017-09-19 13:58:40,BAC,Y,24.97,202, ,24.96,295,24.97,299,1
2017-09-19 13:58:40,BAC,Y,24.97,300, ,24.96,885,24.97,912,1
2017-09-19 13:58:43,BAC,Y,24.965,159, ,24.96,550,24.97,624,-1
2017-09-19 13:58:43,BAC,Y,24.96,100, ,24.96,820,24.97,954,-1
2017-09-19 13:58:43,BAC,Y,24.97,100, ,24.96,822,24.97,942,1
2017-09-19 13:58:45,BAC,V,24.965,100, ,24.96,822,24.97,942,-1
2017-09-19 13:58:45,BAC,V,24.965,200, ,24.96,822,24.97,942,-1
2017-09-19 13:58:45,BAC,Y,24.96,100, ,24.96,550,24.97,636,-1
2017-09-19 13:58:52,BAC,Y,24.96,13900, ,24.96,1826,24.97,2253,-1
2017-09-19 13:58:52,BAC,V,24.96,4700, ,24.96,3529,24.97,7643,-1
2017-09-19 13:58:53,BAC,V,24.965,100, ,24.96,173,24.97,371,1
2017-09-19 13:59:00,BAC,N,24.965,1, ,24.96,241,24.97,339,1
2017-09-19 13:59:03,BAC,J,24.965,200, ,24.96,675,24.97,1008,-1
2017-09-19 13:59:03,BAC,Z,24.965,65, ,24.96,675,24.97,1008,-1
2017-09-19 13:59:10,BAC,Y,24.96,96, ,24.96,408,24.97,676,-1
2017-09-19 13:59:13,BAC,V,24.965,200, ,24.96,234,24.97,338,1
2017-09-19 13:59:17,BAC,J,24.9675,300, ,24.96,2098,24.97,2847,1
2017-09-19 13:59:22,BAC,N,24.965,800, ,24.96,922,24.97,1276,-1
2017-09-19 13:59:22,BAC,B,24.96,40500, ,24.95,3441,24.97,5179,-1
2017-09-19 13:59:22,BAC,B,24.96,404, ,24.95,2838,24.97,5452,-1
2017-09-19 13:59:22,BAC,T,24.96,24938, ,24.95,9871,24.96,14090,1
2017-09-19 13:59:22,BAC,Y,24.96,2125, ,24.95,3467,24.96,4024,1
2017-09-19 13:59:22,BAC,Y,24.96,500, ,24.95,926,24.96,863,1
2017-09-19 13:59:22,BAC,N,24.955,100, ,24.95,926,24.96,819,-1
2017-09-19 13:59:22,BAC,T,24.955,40, ,24.95,296,24.96,239,-1
2017-09-19 13:59:22,BAC,V,24.96,308, ,24.95,945,24.96,733,1
2017-09-19 13:59:22,BAC,T,24.96,120, ,24.95,3826,24.96,2748,1
2017-09-19 13:59:22,BAC,Y,24.96,100, ,24.95,289,24.96,247,1
2017-09-19 13:59:22,BAC,Y,24.96,100, ,24.95,307,24.96,247,1
2017-09-19 13:59:26,BAC,B,24.955,100, ,24.95,541,24.96,512,-1
2017-09-19 13:59:28,BAC,Y,24.96,100, ,24.95,558,24.96,514,1
2017-09-19 13:59:29,BAC,N,24.955,6, ,24.95,320,24.96,257,-1
2017-09-19 13:59:30,BAC,Y,24.96,1500, ,24.95,2752,24.96,1904,1
2017-09-19 13:59:30,BAC,J,24.96,2200, ,24.95,2245,24.96,1131,1
2017-09-19 13:59:31,BAC,X,24.96,19643, ,24.95,1532,24.97,1088,-1
2017-09-19 13:59:31,BAC,M,24.96,172, ,24.96,16795,24.97,13629,-1
2017-09-19 13:59:31,BAC,Y,24.97,100, ,24.96,181,24.97,328,1
2017-09-19 13:59:38,BAC,Y,24.96,70, ,24.96,594,24.97,993,-1
2017-09-19 13:59:40,BAC,N,24.965,700, ,24.96,191,24.97,329,1
2017-09-19 13:59:42,BAC,B,24.965,46, ,24.96,191,24.97,329,1
2017-09-19 13:59:46,BAC,Y,24.96,100, ,24.96,191,24.97,329,-1
2017-09-19 13:59:54,BAC,Y,24.96,100, ,24.96,316,24.97,660,-1
2017-09-19 13:59:59,BAC,N,24.965,30, ,24.96,380,24.97,668,1
2017-09-19 14:00:02,BAC,V,24.96,18986, ,24.96,2864,24.97,9062,-1
2017-09-19 14:00:02,BAC,Y,24.965,100, ,24.96,45,24.97,385,1
2017-09-19 14:00:03,BAC,B,24.96,600, ,24.96,230,24.97,2695,-1
2017-09-19 14:00:04,BAC,B,24.96,300, ,24.96,64,24.97,770,-1
2017-09-19 14:00:06,BAC,B,24.965,100, ,24.96,88,24.97,381,1
2017-09-19 14:00:09,BAC,Y,24.9675,873, ,24.96,1642,24.97,3465,1
2017-09-19 14:00:10,BAC,J,24.965,300, ,24.96,222,24.97,322,-1
2017-09-19 14:00:18,BAC,B,24.965,84, ,24.96,219,24.97,323,-1
2017-09-19 14:00:18,BAC,B,24.965,392, ,24.96,208,24.97,329,-1
2017-09-19 14:00:19,BAC,K,24.96,9176, ,24.96,1862,24.97,9332,-1
2017-09-19 14:00:19,BAC,Y,24.965,100, ,24.96,1862,24.97,9332,1
2017-09-19 14:00:19,BAC,T,24.96,9392, ,24.96,1775,24.97,10171,-1
2017-09-19 14:00:28,BAC,Y,24.965,100, ,24.96,283,24.97,1226,1
